,POP,SEED,STEPS,AVERAGE_SPEED,RADIAL_VARIANCE,SCATTER,GROUP_ROTATION,ANGULAR_MOMENTUM,CONVEX_HULL,INVERSE_CONVEX_HULL,H0,H1,H0_MAX,H1_MAX
0,12,0,2501,1.3910319393268378,0.09726475199830231,0.032977163811521756,-0.8464366678259903,-0.16558012926440446,14126.18009494202,4928.392549289399,0.6,0.0,31.21548080444336,0.0
1,12,0,2501,1.6985606727859832,0.2265647998313439,0.09014680892080935,-1.2936695118194044,-0.4044897659485973,33236.145915301255,10823.846458930579,1.0,0.0,113.2423469543457,0.0
2,12,0,2501,1.350546335651247,0.17398976641054265,0.03780190686931467,-0.8905905559576084,-0.17087067431566413,14391.73492087901,2252.767663859981,0.8,0.0,53.576123046875,0.0
3,12,0,2501,0.1878270151276077,0.160038758582017,0.12235565025802153,-4.058139468497077e-06,-0.0022665285025428882,8374.775462218404,6909.540260562057,0.0,0.0,0.0,0.0
4,12,0,2501,0.5899024234704839,0.041996671296713375,0.007950161188832836,0.3266306168152154,0.03362232945997525,3719.654123771533,487.0956860826543,0.7,0.0,10.771598434448242,0.0
5,12,0,2501,0.25406693484082477,0.0686297291291275,0.09486433810254098,0.015102387858679091,0.00697635704346901,5957.3455944316065,4770.732082765932,0.0,0.0,0.0,0.0
6,12,0,2501,0.8078861461628865,0.011128996427278975,0.004684519278785477,0.2779228576377843,0.020082091770925535,1893.6512171391778,673.855421969445,1.2,0.1,33.87867965698242,3.9929866790771484
7,12,0,2501,0.15466767919356356,0.07156931623827882,0.1001502860686719,0.015243559828921028,0.0050235579192258505,6601.202805091227,5572.8282559169775,2.0,0.0,17.904968643188475,0.0
8,12,0,2501,0.3029445689504989,0.13359777288051405,0.11659759544979006,-0.0016753282107048898,-0.0019390615908601286,18297.633208610707,13703.460957037512,0.9,0.0,32.80429306030273,0.0
9,12,0,2501,0.22042868732505294,0.26683616560267576,0.1864433959844991,-0.02674399829870834,-0.006716677027488683,28399.63352972305,22313.49336344707,0.0,0.0,0.0,0.0
