,SEED,TOTAL_STEPS,CL0,CR0,CL1,CR1,RADIAL_VARIANCE,RADIUS
0,1,4001,-1.0,-1.0,-1.0,-1.0,0.13543295953528037,301.84884460220906
1,1,4001,-1.0,-1.0,-1.0,-0.8,0.2702114921260426,257.53547229083705
2,1,4001,-1.0,-1.0,-1.0,-0.6,0.9247081566271905,238.22833100619545
3,1,4001,-1.0,-1.0,-1.0,-0.4,0.5761785619354948,253.0353708144069
4,1,4001,-1.0,-1.0,-1.0,-0.2,0.2302251166048187,257.73125457315246
5,1,4001,-1.0,-1.0,-1.0,0.0,0.7155400299324275,241.03220235445414
6,1,4001,-1.0,-1.0,-1.0,0.2,1.0312846482603588,240.73568060950703
7,1,4001,-1.0,-1.0,-1.0,0.4,0.2600486370035893,252.70677830338303
8,1,4001,-1.0,-1.0,-1.0,0.6,0.7969067370585065,245.75358062289516
9,1,4001,-1.0,-1.0,-1.0,0.8,0.2717308902168288,258.59625813668856
10,1,4001,-1.0,-1.0,-1.0,1.0,0.43886105862927394,246.42703050811167
11,1,4001,-1.0,-1.0,-0.8,-1.0,0.16399755907651348,269.3296622238951
12,1,4001,-1.0,-1.0,-0.8,-0.8,0.13697694947174086,301.6907899032328
13,1,4001,-1.0,-1.0,-0.8,-0.6,0.2536515495892882,268.1783613477435
14,1,4001,-1.0,-1.0,-0.8,-0.4,0.21853015396659559,257.4476422120773
15,1,4001,-1.0,-1.0,-0.8,-0.2,0.7233688516161445,243.2652780864395
16,1,4001,-1.0,-1.0,-0.8,0.0,0.46828063379789747,258.8687535792216
17,1,4001,-1.0,-1.0,-0.8,0.2,0.4846774290389091,253.24986928824543
18,1,4001,-1.0,-1.0,-0.8,0.4,0.8586715099084308,242.00987226888392
19,1,4001,-1.0,-1.0,-0.8,0.6,0.7301147225109144,235.62567115675964
20,1,4001,-1.0,-1.0,-0.8,0.8,0.424174468836332,266.2250099854387
21,1,4001,-1.0,-1.0,-0.8,1.0,0.6643000731822732,258.17073355354233
22,1,4001,-1.0,-1.0,-0.6,-1.0,0.4282448722485608,260.1699303185246
23,1,4001,-1.0,-1.0,-0.6,-0.8,0.23179987626039977,266.60149289283095
24,1,4001,-1.0,-1.0,-0.6,-0.6,0.13844716548417796,301.5429345137912
25,1,4001,-1.0,-1.0,-0.6,-0.4,0.29676072721397595,261.83122276363764
26,1,4001,-1.0,-1.0,-0.6,-0.2,1.0367414380174629,231.45052604689423
27,1,4001,-1.0,-1.0,-0.6,0.0,0.5804516931287911,237.77961253338472
28,1,4001,-1.0,-1.0,-0.6,0.2,1.3485812257494985,222.35522763693874
29,1,4001,-1.0,-1.0,-0.6,0.4,0.7123237359075312,259.24622994300114
30,1,4001,-1.0,-1.0,-0.6,0.6,0.560085045371197,262.317454588943
31,1,4001,-1.0,-1.0,-0.6,0.8,0.7605886816752659,244.32417397336368
32,1,4001,-1.0,-1.0,-0.6,1.0,0.6335881978215891,268.8787049007797
33,1,4001,-1.0,-1.0,-0.4,-1.0,0.6768536649296155,242.59763212398192
34,1,4001,-1.0,-1.0,-0.4,-0.8,0.705778249292025,226.73894040950438
35,1,4001,-1.0,-1.0,-0.4,-0.6,0.38587752279653137,260.9896847636672
36,1,4001,-1.0,-1.0,-0.4,-0.4,0.1466999607456028,303.939112923434
37,1,4001,-1.0,-1.0,-0.4,-0.2,0.24637239881590486,264.28049869297536
38,1,4001,-1.0,-1.0,-0.4,0.0,0.3539871569933107,264.3868312298558
39,1,4001,-1.0,-1.0,-0.4,0.2,1.254665328306556,211.2490525822063
40,1,4001,-1.0,-1.0,-0.4,0.4,0.16689775802723417,282.93054856959895
41,1,4001,-1.0,-1.0,-0.4,0.6,1.2425092782986333,222.17140869465686
42,1,4001,-1.0,-1.0,-0.4,0.8,1.0172823748025912,255.3459540690153
43,1,4001,-1.0,-1.0,-0.4,1.0,0.975283010041698,233.74275787374881
44,1,4001,-1.0,-1.0,-0.2,-1.0,0.3458809845729444,246.55994990005746
45,1,4001,-1.0,-1.0,-0.2,-0.8,0.5028127203932611,267.18033124009355
46,1,4001,-1.0,-1.0,-0.2,-0.6,0.6149967332209565,257.4769840008671
47,1,4001,-1.0,-1.0,-0.2,-0.4,0.40808746603304924,254.13541358226976
48,1,4001,-1.0,-1.0,-0.2,-0.2,0.14423083486826657,303.1303261106732
49,1,4001,-1.0,-1.0,-0.2,0.0,0.5295119036521426,258.14259744850756
50,1,4001,-1.0,-1.0,-0.2,0.2,0.480077006691323,246.77727805590916
51,1,4001,-1.0,-1.0,-0.2,0.4,0.9186144143285822,226.2699283223057
52,1,4001,-1.0,-1.0,-0.2,0.6,0.8097308364183536,249.4415815129478
53,1,4001,-1.0,-1.0,-0.2,0.8,0.22771850091153745,265.50244745074195
54,1,4001,-1.0,-1.0,-0.2,1.0,1.1037936460049023,224.00882945480106
55,1,4001,-1.0,-1.0,0.0,-1.0,0.24628315045815935,253.75273517828023
56,1,4001,-1.0,-1.0,0.0,-0.8,1.06318976987299,231.2576705306504
57,1,4001,-1.0,-1.0,0.0,-0.6,0.5372038377050395,252.6904974234606
58,1,4001,-1.0,-1.0,0.0,-0.4,0.7315425700272097,241.41941507290034
59,1,4001,-1.0,-1.0,0.0,-0.2,0.2904700454084131,264.99263995018
60,1,4001,-1.0,-1.0,0.0,0.0,0.13027587170608998,294.530145379363
61,1,4001,-1.0,-1.0,0.0,0.2,0.5732690552573494,255.8600447130209
62,1,4001,-1.0,-1.0,0.0,0.4,0.7492417748967222,254.41458305342294
63,1,4001,-1.0,-1.0,0.0,0.6,1.1834773475023586,218.12212025294946
64,1,4001,-1.0,-1.0,0.0,0.8,0.8393803250993064,253.96863691769457
65,1,4001,-1.0,-1.0,0.0,1.0,0.4158931884132603,243.27277170987188
66,1,4001,-1.0,-1.0,0.2,-1.0,0.2771290665784764,254.18256914587138
67,1,4001,-1.0,-1.0,0.2,-0.8,0.5326311728808115,253.39589006419772
68,1,4001,-1.0,-1.0,0.2,-0.6,0.8786453884294879,236.44379361019384
69,1,4001,-1.0,-1.0,0.2,-0.4,0.9832123224369353,251.2409563951829
70,1,4001,-1.0,-1.0,0.2,-0.2,0.5846873287443405,264.08630986656
71,1,4001,-1.0,-1.0,0.2,0.0,0.38221470393149315,276.4662872129445
72,1,4001,-1.0,-1.0,0.2,0.2,0.8178469686529323,264.72060659423073
73,1,4001,-1.0,-1.0,0.2,0.4,0.7813439734799157,241.72324177164185
74,1,4001,-1.0,-1.0,0.2,0.6,0.37524813915001237,263.82351496647686
75,1,4001,-1.0,-1.0,0.2,0.8,1.1395590024045184,216.57109456119235
76,1,4001,-1.0,-1.0,0.2,1.0,0.7649963990552371,221.2523624792879
77,1,4001,-1.0,-1.0,0.4,-1.0,0.18317645132706828,243.7277597280592
78,1,4001,-1.0,-1.0,0.4,-0.8,0.3576595723899588,257.6078737229061
79,1,4001,-1.0,-1.0,0.4,-0.6,0.6572919710876035,246.46382449104684
80,1,4001,-1.0,-1.0,0.4,-0.4,0.7470763452274874,225.86900021479366
81,1,4001,-1.0,-1.0,0.4,-0.2,0.9704253825208323,226.73968177363142
82,1,4001,-1.0,-1.0,0.4,0.0,0.15270918718963608,283.59314299798115
83,1,4001,-1.0,-1.0,0.4,0.2,1.22069905215996,229.14449055487333
84,1,4001,-1.0,-1.0,0.4,0.4,0.9741318554268736,268.1329535117162
85,1,4001,-1.0,-1.0,0.4,0.6,0.40039632623763816,276.14760507135304
86,1,4001,-1.0,-1.0,0.4,0.8,0.4425105083691121,263.68174465985294
87,1,4001,-1.0,-1.0,0.4,1.0,0.3167934567091168,259.3203709034998
88,1,4001,-1.0,-1.0,0.6,-1.0,0.6487105059359084,247.3424200015721
89,1,4001,-1.0,-1.0,0.6,-0.8,0.3763546295456902,256.51417108267253
90,1,4001,-1.0,-1.0,0.6,-0.6,0.5093408169783662,246.97317935656633
91,1,4001,-1.0,-1.0,0.6,-0.4,0.852195048782938,218.38309649057285
92,1,4001,-1.0,-1.0,0.6,-0.2,0.3374236242252562,249.01581995929723
93,1,4001,-1.0,-1.0,0.6,0.0,1.7878271205559864,204.11640965358367
94,1,4001,-1.0,-1.0,0.6,0.2,1.1610255512925465,236.93031084388872
95,1,4001,-1.0,-1.0,0.6,0.4,0.07375733457998018,277.50829851643255
96,1,4001,-1.0,-1.0,0.6,0.6,0.6167348343389475,269.1372033532861
97,1,4001,-1.0,-1.0,0.6,0.8,0.8460707155538053,252.62344720181497
98,1,4001,-1.0,-1.0,0.6,1.0,0.7739528900854357,242.4730577156203
99,1,4001,-1.0,-1.0,0.8,-1.0,0.3214024653866108,263.38360809535476
100,1,4001,-1.0,-1.0,0.8,-0.8,0.7083234421394253,238.16003434033868
101,1,4001,-1.0,-1.0,0.8,-0.6,1.4057384660263272,218.44646020347153
102,1,4001,-1.0,-1.0,0.8,-0.4,0.9023247870629392,261.2061762934266
103,1,4001,-1.0,-1.0,0.8,-0.2,1.1204656434576588,247.62774305045232
104,1,4001,-1.0,-1.0,0.8,0.0,0.40048153808146614,253.9949219210372
105,1,4001,-1.0,-1.0,0.8,0.2,0.05498179124744319,272.71050133463723
106,1,4001,-1.0,-1.0,0.8,0.4,0.20414653585371753,261.02285173182014
107,1,4001,-1.0,-1.0,0.8,0.6,0.8390997311833119,257.724929993748
108,1,4001,-1.0,-1.0,0.8,0.8,0.1972116797634788,300.40108446264185
109,1,4001,-1.0,-1.0,0.8,1.0,0.5066459345101922,243.64020786668786
110,1,4001,-1.0,-1.0,1.0,-1.0,0.42479551476074046,263.579521689541
111,1,4001,-1.0,-1.0,1.0,-0.8,0.6594715900150612,235.42014094737937
112,1,4001,-1.0,-1.0,1.0,-0.6,0.386697492000536,263.48123148672175
113,1,4001,-1.0,-1.0,1.0,-0.4,0.6545906780112225,268.8425412207623
114,1,4001,-1.0,-1.0,1.0,-0.2,0.7688150984031641,248.5187112067272
115,1,4001,-1.0,-1.0,1.0,0.0,0.7274985439297582,250.79078485190587
116,1,4001,-1.0,-1.0,1.0,0.2,0.2720542794395,264.1472596662111
117,1,4001,-1.0,-1.0,1.0,0.4,0.4973603931252972,271.6497893037135
118,1,4001,-1.0,-1.0,1.0,0.6,1.0614673227161873,235.0370310491122
119,1,4001,-1.0,-1.0,1.0,0.8,0.9773338776988542,217.82127563304542
120,1,4001,-1.0,-1.0,1.0,1.0,1.7564292253479143,256.43426041108916
121,1,4001,-1.0,-0.8,-1.0,-1.0,0.241299232710088,305.8425276996624
122,1,4001,-1.0,-0.8,-1.0,-0.8,0.6585002272321553,120.33415042921604
123,1,4001,-1.0,-0.8,-1.0,-0.6,0.45459595135588104,138.11247758943838
124,1,4001,-1.0,-0.8,-1.0,-0.4,0.6885339406070776,147.52657291156103
125,1,4001,-1.0,-0.8,-1.0,-0.2,0.6286344919036353,129.44854642480703
126,1,4001,-1.0,-0.8,-1.0,0.0,0.5069110178764282,104.13192872900612
127,1,4001,-1.0,-0.8,-1.0,0.2,0.47559894419444143,110.72021549034363
128,1,4001,-1.0,-0.8,-1.0,0.4,0.6139996159614346,160.48584887438656
129,1,4001,-1.0,-0.8,-1.0,0.6,0.31780669896184643,100.915048030935
130,1,4001,-1.0,-0.8,-1.0,0.8,0.4901874662912419,136.2860393436227
131,1,4001,-1.0,-0.8,-1.0,1.0,0.41192291279983273,156.337268003928
132,1,4001,-1.0,-0.8,-0.8,-1.0,0.32004206757841946,265.7146538211548
133,1,4001,-1.0,-0.8,-0.8,-0.8,0.24140167965587686,305.8184424132531
134,1,4001,-1.0,-0.8,-0.8,-0.6,0.19581913387258124,129.41333868284298
