,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,1,0,1.8444218515250481,10001,278.3489965109225,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,1,1,1.134364244112401,10001,130.6119487229748,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,1,2,1.9560342718892494,10001,89.10418007492845,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,1,3,1.2379646270918914,10001,106.96751641806928,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4,1,4,1.2360480897374346,10001,106.98033434832098,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,1,5,1.622901694889702,10001,226.09302812297446,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6,1,6,1.793340083761663,10001,124.27977017767478,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7,1,7,1.3238327648331625,6786,47.000399264809836,1.0,6786.0,6786.0,6786.0,6786.0,6786.0,6786.0,6786.0,6786.0
8,1,8,1.226705859381049,2470,76.46035494030947,1.0,2470.0,2470.0,2470.0,2470.0,2470.0,2470.0,2470.0,2470.0
9,1,9,1.4630073578150213,10001,103.43099701969835,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10,1,10,1.5714025946899135,550,39.151149085353126,1.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0
11,1,11,1.4523795535098185,5083,20.219230416578377,1.0,5083.0,5083.0,5083.0,5083.0,5083.0,5083.0,5083.0,5083.0
12,1,12,1.474570678688548,10001,39.065667121776926,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,1,13,1.2590084917154736,7514,75.51521289118347,1.0,7514.0,7514.0,7514.0,7514.0,7514.0,7514.0,7514.0,7514.0
14,1,14,1.1068285377016558,10001,130.24612781118944,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
15,1,15,1.9652421415521228,10001,262.0555401960811,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
16,1,16,1.361522774914075,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,1,17,1.5219839097124932,10001,173.04964129900713,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
18,1,18,1.1812648633332214,10001,36.11823469346684,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
19,1,19,1.6771258268002702,10001,187.24434522206883,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
20,1,20,1.9056396761745207,10001,191.44433827171667,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
21,1,21,1.164949479833198,10001,253.43611935529032,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
22,1,22,1.9582093798172728,10001,106.88001148375491,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
23,1,23,1.9248652516259452,10001,98.07340612614976,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
24,1,24,1.7123429878269185,10001,78.56294670788196,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
25,1,25,1.3769623023903859,10001,218.70636209954088,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
26,1,26,1.7472912662232836,10001,166.13914014784206,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
27,1,27,1.648497219978883,10001,63.26411081533663,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
28,1,28,1.1129571701761631,10001,81.15796809098816,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
29,1,29,1.5481190538116991,10001,220.86122051096928,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
30,1,30,1.5390815646058105,10001,266.11548222023123,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
31,1,31,1.0122782473979755,10001,98.19718330482948,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
32,1,32,1.0774217838533042,1096,20.563879886672588,1.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0
33,1,33,1.570328423136873,10001,230.63296379379833,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
34,1,34,1.5289353829404124,10001,204.46855426869826,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
35,1,35,1.5486946056438222,9390,69.93477594256034,1.0,9390.0,9390.0,9390.0,9390.0,9390.0,9390.0,9390.0,9390.0
36,1,36,1.328700520533098,10001,120.03521721298519,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
37,1,37,1.6820045605879779,10001,300.42583163645673,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
38,1,38,1.6394736947203203,10001,140.46344847517156,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
39,1,39,1.2098512445365173,8117,15.394251567253606,1.0,8117.0,8117.0,8117.0,8117.0,8117.0,8117.0,8117.0,8117.0
40,1,40,1.4586067093870614,10001,104.33395864163136,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
41,1,41,1.3810206899957715,10001,234.61592517677684,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42,1,42,1.6394267984578836,10001,63.30833773450127,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
43,1,43,1.03855183933738,7802,53.081198118946716,1.0,7802.0,7802.0,7802.0,7802.0,7802.0,7802.0,7802.0,7802.0
44,1,44,1.4085358792544938,404,31.692046627977728,1.0,404.0,404.0,404.0,404.0,404.0,404.0,404.0,404.0
45,1,45,1.2718754143840907,4403,62.8824262003457,1.0,4403.0,4403.0,4403.0,4403.0,4403.0,4403.0,4403.0,4403.0
46,1,46,1.888268076452488,654,13.24392584478695,1.0,654.0,654.0,654.0,654.0,654.0,654.0,654.0,654.0
47,1,47,1.3518462558278825,36,18.28073406543416,1.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0
48,1,48,1.5481578284163295,10001,183.62306885265713,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
49,1,49,1.0668839763427518,10001,63.41993326764918,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
50,2,0,1.8444218515250481,1,101.96519833412536,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0
51,2,1,1.134364244112401,93,130.30302746922246,1.0,93.0,93.0,93.0,93.0,-1.0,-1.0,-1.0,-1.0
52,2,2,1.9560342718892494,3480,108.55321570817064,1.0,3480.0,3480.0,3480.0,3480.0,-1.0,-1.0,-1.0,-1.0
53,2,3,1.2379646270918914,10001,117.05922293676403,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
54,2,4,1.2360480897374346,1138,72.29032169874496,1.0,1138.0,1138.0,1138.0,1138.0,-1.0,-1.0,-1.0,-1.0
55,2,5,1.622901694889702,6471,180.67310735154658,1.0,6471.0,6471.0,6471.0,6471.0,-1.0,-1.0,-1.0,-1.0
56,2,6,1.793340083761663,10001,69.27335946656476,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
57,2,7,1.3238327648331625,10001,166.76235909481787,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
58,2,8,1.226705859381049,10001,105.47723238437543,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
59,2,9,1.4630073578150213,10001,131.7768071603239,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
60,2,10,1.5714025946899135,2649,77.56187350800059,1.0,2649.0,2649.0,2649.0,2649.0,-1.0,-1.0,-1.0,-1.0
61,2,11,1.4523795535098185,731,164.94028405651096,1.0,731.0,731.0,731.0,731.0,-1.0,-1.0,-1.0,-1.0
62,2,12,1.474570678688548,821,110.39816564653198,1.0,821.0,821.0,821.0,821.0,-1.0,-1.0,-1.0,-1.0
63,2,13,1.2590084917154736,9162,93.77292107769765,1.0,9162.0,9162.0,9162.0,9162.0,-1.0,-1.0,-1.0,-1.0
64,2,14,1.1068285377016558,10001,80.29940092322083,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
65,2,15,1.9652421415521228,10001,132.07242270630562,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
66,2,16,1.361522774914075,1,107.52703934851539,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0
67,2,17,1.5219839097124932,6675,167.37022873980104,1.0,6675.0,6675.0,6675.0,6675.0,-1.0,-1.0,-1.0,-1.0
68,2,18,1.1812648633332214,4016,67.64662490762518,1.0,4016.0,4016.0,4016.0,4016.0,-1.0,-1.0,-1.0,-1.0
69,2,19,1.6771258268002702,10001,194.0329726532187,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
