,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,2501.0,2501.0,2501.0,2501.0,2501.0,2342.0,2115.0,1690.0,1394.0,1032.0,1415.0,589.0,811.0,828.0,1315.0,1290.0,1122.0,1087.0,897.0,1193.0,545.0
1,2501.0,2501.0,2501.0,2501.0,2501.0,2501.0,1813.0,1718.0,1994.0,1481.0,1423.0,1137.0,1070.0,1181.0,1040.0,750.0,958.0,815.0,823.0,957.0,1172.0
2,2501.0,2501.0,2501.0,2501.0,2501.0,2501.0,1946.0,2150.0,2047.0,1400.0,1435.0,1394.0,1513.0,852.0,602.0,1350.0,492.0,873.0,924.0,1121.0,699.0
3,2501.0,2501.0,2501.0,2501.0,2501.0,2501.0,2501.0,2501.0,2306.0,2231.0,1598.0,1425.0,1153.0,1378.0,1008.0,988.0,814.0,1183.0,726.0,941.0,1033.0
4,2501.0,2501.0,2501.0,2501.0,2501.0,2501.0,2501.0,2501.0,2501.0,2005.0,2038.0,1394.0,1265.0,893.0,948.0,971.0,1065.0,972.0,937.0,1048.0,1267.0
5,2038.0,2501.0,2501.0,2501.0,2501.0,2501.0,2501.0,2501.0,2501.0,2501.0,1970.0,2063.0,1580.0,1321.0,1484.0,1003.0,1079.0,869.0,955.0,749.0,785.0
6,2294.0,2501.0,2501.0,2501.0,2501.0,2501.0,2501.0,2501.0,2501.0,2501.0,2501.0,2043.0,1552.0,1672.0,968.0,1016.0,836.0,1198.0,879.0,635.0,705.0
7,1617.0,1726.0,2360.0,2501.0,2203.0,2501.0,2501.0,2501.0,2501.0,2501.0,2501.0,2501.0,2310.0,1864.0,1451.0,1372.0,1139.0,1240.0,1001.0,804.0,587.0
8,1530.0,1846.0,2301.0,2501.0,2501.0,2501.0,2501.0,2501.0,2501.0,2501.0,2501.0,2260.0,1945.0,2104.0,1556.0,1285.0,1204.0,1285.0,1212.0,665.0,586.0
9,1497.0,1988.0,1838.0,1928.0,2011.0,2300.0,2501.0,2501.0,2501.0,2501.0,2501.0,2501.0,2411.0,1936.0,1562.0,1388.0,1331.0,1140.0,1292.0,1156.0,720.0
10,1561.0,1600.0,1521.0,1664.0,1328.0,1774.0,1993.0,2501.0,2501.0,2501.0,2501.0,2501.0,2501.0,2501.0,1694.0,1277.0,1420.0,1444.0,1136.0,724.0,961.0
11,921.0,1331.0,1456.0,1682.0,1474.0,1994.0,2325.0,1786.0,2418.0,2501.0,2501.0,2501.0,2501.0,2501.0,2242.0,1275.0,1541.0,1391.0,1128.0,936.0,1045.0
12,833.0,1293.0,1004.0,1322.0,1392.0,1813.0,2031.0,1561.0,1864.0,2501.0,2501.0,2501.0,2501.0,2501.0,2501.0,1782.0,1567.0,1485.0,1269.0,1112.0,1042.0
13,1061.0,1288.0,1302.0,1393.0,1149.0,1402.0,1257.0,1865.0,1895.0,1812.0,2496.0,2501.0,2501.0,2501.0,2501.0,2501.0,1750.0,1715.0,1491.0,1296.0,1040.0
14,1275.0,1689.0,634.0,1332.0,1182.0,1375.0,1203.0,1555.0,1771.0,1187.0,1735.0,2102.0,2501.0,2501.0,2501.0,2501.0,1969.0,1419.0,1786.0,1509.0,1317.0
15,1459.0,702.0,955.0,1086.0,819.0,1016.0,1048.0,1253.0,1407.0,1315.0,1454.0,1289.0,1309.0,2485.0,2501.0,2501.0,2501.0,1901.0,1349.0,1593.0,1125.0
16,849.0,934.0,1305.0,1089.0,1334.0,851.0,857.0,1316.0,1252.0,950.0,1375.0,1884.0,1663.0,1669.0,2071.0,2501.0,2501.0,2501.0,1153.0,1295.0,1188.0
17,1503.0,1523.0,931.0,1412.0,973.0,865.0,1018.0,819.0,1254.0,1221.0,1182.0,764.0,1020.0,1471.0,1646.0,2459.0,2501.0,2501.0,2501.0,1459.0,1310.0
18,845.0,1108.0,1510.0,1072.0,619.0,1093.0,592.0,993.0,1332.0,742.0,1046.0,1245.0,1176.0,1290.0,1203.0,1766.0,2318.0,2501.0,2501.0,2501.0,1500.0
19,1141.0,599.0,760.0,1160.0,1154.0,1296.0,1374.0,1203.0,871.0,952.0,1160.0,1175.0,841.0,1207.0,1113.0,1307.0,1385.0,2129.0,2501.0,2501.0,2501.0
20,868.0,853.0,892.0,850.0,1003.0,1055.0,1240.0,1257.0,708.0,915.0,1277.0,1040.0,965.0,679.0,1156.0,1205.0,1378.0,1264.0,1988.0,2501.0,2501.0
