,POP,SEED,STEPS,AVERAGE_SPEED,RADIAL_VARIANCE,SCATTER,GROUP_ROTATION,ANGULAR_MOMENTUM,CONVEX_HULL,INVERSE_CONVEX_HULL,H0,H1,H0_MAX,H1_MAX
0,12,0,2501,1.0330399805238846,0.7679605463143006,0.20518650530785174,0.5887192928425562,0.3421765464179101,95937.44106687674,45221.24350813381,2.0,0.0,268.4449493408203,0.0
1,12,0,2501,1.519700745617337,0.5489510058349294,0.2698348719831496,1.2112163187071305,0.659368311946054,98445.25283342366,46342.741953650635,1.0,0.0,247.65231475830078,0.0
2,12,0,2501,1.393453664857031,0.5290690372716865,0.16879187397256715,-1.1998971005083452,-0.4775790632572336,59729.7731257349,26471.741953612815,1.9,0.0,156.76669464111328,0.0
3,12,0,2501,1.545291666666667,0.32651656946541413,0.11551444133718233,1.4710461883635741,0.4596776382854969,46130.129010070385,17608.01752744712,1.3,0.0,171.11357574462892,0.0
4,12,0,2501,1.4482500000000003,0.31934407726054914,0.12319119592892949,1.334971686646454,0.4550874029562946,51921.57380074476,20918.356322694184,2.9,0.0,140.303271484375,0.0
5,12,0,2501,1.5199565347601498,0.0703769090097262,0.0881222295218192,1.4156855386059877,0.4193088231810519,33361.651805683214,20735.34889324246,0.3,0.0,36.81932907104492,0.0
6,12,0,2501,1.3932158174832054,0.09680777685356518,0.06501109967736934,1.2038408491121586,0.31994047939603015,24835.272299026212,11888.73898559056,1.2,0.0,118.04915390014648,0.0
7,12,1,2501,1.0429491897600334,0.28784958181256676,0.22802654115725227,1.0222864901322766,0.4713377870594264,78313.30925691513,66820.25246228467,1.0,0.0,292.09210205078125,0.0
8,12,1,2501,1.5364005839323351,0.4108489216809076,0.3024428451724588,1.478685638506684,0.7837224178779819,109856.43332398345,69529.57829276906,0.1,0.0,26.222149658203126,0.0
9,12,1,2501,1.4455524257308148,0.4745299425714615,0.18746162471596065,-1.213462936188028,-0.5230442233352164,83431.23283431385,28986.48225071852,1.0,0.0,235.99298095703125,0.0
