,0,1,2,3,4,5,6,7,8,9,10,11,12
54,2,4,10001,75.97840363513818,1.0,398.0,398.0,398.0,398.0,-1.0,-1.0,-1.0,-1.0
55,2,5,10001,180.9399930299058,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
56,2,6,1150,30.350724735093387,2.0,224.0,224.0,224.0,224.0,1150.0,1150.0,1150.0,1150.0
57,2,7,10001,169.8963169072412,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
58,2,8,10001,250.38540404797848,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
59,2,9,10001,68.3968552123078,1.0,5163.0,5163.0,5163.0,5163.0,-1.0,-1.0,-1.0,-1.0
60,2,10,10001,95.1844467654342,1.0,519.0,519.0,519.0,519.0,-1.0,-1.0,-1.0,-1.0
61,2,11,10001,182.1112329817928,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
62,2,12,276,53.891662455201576,2.0,256.0,256.0,256.0,256.0,276.0,276.0,276.0,276.0
63,2,13,10001,156.90256894444522,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
64,2,14,10001,130.69523359866537,1.0,643.0,643.0,643.0,643.0,-1.0,-1.0,-1.0,-1.0
65,2,15,10001,255.2588249042472,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
66,2,16,970,31.95892749031561,2.0,445.0,445.0,445.0,445.0,970.0,970.0,970.0,970.0
67,2,17,10001,236.68021488104816,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
68,2,18,10001,73.46992064006628,1.0,438.0,438.0,438.0,438.0,-1.0,-1.0,-1.0,-1.0
69,2,19,10001,130.69351207898598,1.0,540.0,540.0,540.0,540.0,-1.0,-1.0,-1.0,-1.0
70,2,20,10001,233.9739715164989,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
71,2,21,165,57.28872242627562,2.0,140.0,140.0,140.0,140.0,165.0,165.0,165.0,165.0
72,2,22,10001,152.94580170418888,1.0,1620.0,1620.0,1620.0,1620.0,-1.0,-1.0,-1.0,-1.0
73,2,23,10001,165.7912090358858,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
74,2,24,10001,242.9372103811684,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
75,2,25,10001,96.14215648551611,1.0,3363.0,3363.0,3363.0,3363.0,-1.0,-1.0,-1.0,-1.0
76,2,26,3268,46.15478905411202,2.0,3230.0,3230.0,3230.0,3230.0,3268.0,3268.0,3268.0,3268.0
77,2,27,10001,130.70198938802002,1.0,8774.0,8774.0,8774.0,8774.0,-1.0,-1.0,-1.0,-1.0
78,2,28,252,32.440065733793716,2.0,1.0,1.0,1.0,1.0,252.0,252.0,252.0,252.0
79,2,29,10001,130.70621491677895,1.0,276.0,276.0,276.0,276.0,-1.0,-1.0,-1.0,-1.0
80,2,30,3688,37.447071982572226,2.0,2591.0,2591.0,2591.0,2591.0,3688.0,3688.0,3688.0,3688.0
81,2,31,10001,87.3517563345114,1.0,9169.0,9169.0,9169.0,9169.0,-1.0,-1.0,-1.0,-1.0
82,2,32,10001,273.59566770344446,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
83,2,33,10001,231.5565132995646,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
84,2,34,10001,249.08515703566874,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
85,2,35,10001,261.02034870396915,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
86,2,36,10001,230.3183822144497,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
87,2,37,10001,77.71637893178796,1.0,436.0,436.0,436.0,436.0,-1.0,-1.0,-1.0,-1.0
88,2,38,8250,8.97471774191466,2.0,484.0,484.0,484.0,484.0,8250.0,8250.0,8250.0,8250.0
89,2,39,8425,36.91551943237249,2.0,329.0,329.0,329.0,329.0,8425.0,8425.0,8425.0,8425.0
90,2,40,10001,192.8153316200725,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
91,2,41,10001,89.85407892938437,1.0,111.0,111.0,111.0,111.0,-1.0,-1.0,-1.0,-1.0
92,2,42,3333,36.98266407698224,2.0,406.0,406.0,406.0,406.0,3333.0,3333.0,3333.0,3333.0
93,2,43,8514,8.324490505963466,2.0,361.0,361.0,361.0,361.0,8514.0,8514.0,8514.0,8514.0
94,2,44,4366,36.24003472303707,2.0,518.0,518.0,518.0,518.0,4366.0,4366.0,4366.0,4366.0
95,2,45,6797,29.955003805091728,2.0,3793.0,3793.0,3793.0,3793.0,6797.0,6797.0,6797.0,6797.0
96,2,46,10001,120.3770908966923,1.0,63.0,63.0,63.0,63.0,-1.0,-1.0,-1.0,-1.0
97,2,47,7567,36.89353704479534,2.0,647.0,647.0,647.0,647.0,7567.0,7567.0,7567.0,7567.0
98,2,48,10001,171.14752118942843,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
99,2,49,8278,29.312174216880095,2.0,7509.0,7509.0,7509.0,7509.0,8278.0,8278.0,8278.0,8278.0
100,3,0,10001,62.042807777809465,2.0,56.0,56.0,56.0,1460.0,-1.0,-1.0,-1.0,-1.0
101,3,1,10001,91.54130212790471,2.0,3177.0,3177.0,3177.0,3791.0,-1.0,-1.0,-1.0,-1.0
102,3,2,10001,56.915870070384955,2.0,70.0,70.0,70.0,1743.0,-1.0,-1.0,-1.0,-1.0
103,3,3,5539,29.71420804200081,3.0,306.0,306.0,306.0,771.0,5539.0,5539.0,5539.0,5539.0
104,3,4,10001,130.91781438335403,1.0,758.0,758.0,758.0,-1.0,-1.0,-1.0,-1.0,-1.0
105,3,5,10001,145.37058789564537,1.0,6833.0,6833.0,6833.0,-1.0,-1.0,-1.0,-1.0,-1.0
106,3,6,4620,33.97716289366759,3.0,2391.0,2391.0,2391.0,2391.0,4620.0,4620.0,4620.0,4620.0
107,3,7,10001,107.55205950707496,1.0,6555.0,6555.0,6555.0,-1.0,-1.0,-1.0,-1.0,-1.0
108,3,8,10001,186.41731382973657,1.0,134.0,134.0,134.0,-1.0,-1.0,-1.0,-1.0,-1.0
109,3,9,10001,109.65286106799425,1.0,2402.0,2402.0,2402.0,-1.0,-1.0,-1.0,-1.0,-1.0
110,3,10,766,28.513029943734356,3.0,187.0,187.0,187.0,216.0,766.0,766.0,766.0,766.0
111,3,11,10001,62.35359385220091,2.0,981.0,981.0,981.0,6034.0,-1.0,-1.0,-1.0,-1.0
112,3,12,10001,70.81287657456855,2.0,110.0,110.0,110.0,276.0,-1.0,-1.0,-1.0,-1.0
113,3,13,10001,78.8780469196081,2.0,6711.0,6711.0,6711.0,7899.0,-1.0,-1.0,-1.0,-1.0
114,3,14,10001,87.12807727311774,2.0,371.0,371.0,371.0,397.0,-1.0,-1.0,-1.0,-1.0
115,3,15,10001,101.43938838329085,2.0,1347.0,1347.0,1347.0,1584.0,-1.0,-1.0,-1.0,-1.0
116,3,16,473,27.214069743776644,3.0,335.0,335.0,335.0,416.0,473.0,473.0,473.0,473.0
117,3,17,10001,243.33418119197918,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
118,3,18,1822,14.333299241235418,3.0,876.0,876.0,876.0,1792.0,1822.0,1822.0,1822.0,1822.0
119,3,19,10001,87.13316969483762,2.0,435.0,435.0,435.0,881.0,-1.0,-1.0,-1.0,-1.0
120,3,20,10001,90.28764906599164,2.0,2334.0,2334.0,2334.0,7143.0,-1.0,-1.0,-1.0,-1.0
121,3,21,10001,72.69581207547971,2.0,151.0,151.0,151.0,239.0,-1.0,-1.0,-1.0,-1.0
122,3,22,10001,257.55337636438605,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
123,3,23,10001,88.25361035356632,2.0,467.0,467.0,467.0,4311.0,-1.0,-1.0,-1.0,-1.0
124,3,24,10001,170.2933644887346,1.0,1722.0,1722.0,1722.0,-1.0,-1.0,-1.0,-1.0,-1.0
125,3,25,10001,65.89670508396485,2.0,2008.0,2008.0,2008.0,9158.0,-1.0,-1.0,-1.0,-1.0
126,3,26,10001,68.36548663019892,2.0,1202.0,1202.0,1202.0,4266.0,-1.0,-1.0,-1.0,-1.0
127,3,27,10001,138.3595470034105,1.0,2845.0,2845.0,2845.0,-1.0,-1.0,-1.0,-1.0,-1.0
128,3,28,2557,43.072138880546525,3.0,1.0,1.0,1.0,2557.0,2557.0,2557.0,2557.0,2557.0
129,3,29,10001,72.24894335830257,2.0,335.0,335.0,335.0,390.0,-1.0,-1.0,-1.0,-1.0
130,3,30,10001,87.1297816147588,2.0,342.0,342.0,342.0,4460.0,-1.0,-1.0,-1.0,-1.0
131,3,31,10001,200.0298995209396,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
132,3,32,10001,65.28450809318623,2.0,5032.0,5032.0,5032.0,9678.0,-1.0,-1.0,-1.0,-1.0
133,3,33,10001,87.13602325829089,2.0,89.0,89.0,89.0,836.0,-1.0,-1.0,-1.0,-1.0
134,3,34,10001,257.5998441642677,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
135,3,35,10001,260.71061882285545,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
136,3,36,10001,153.37399443457346,1.0,439.0,439.0,439.0,-1.0,-1.0,-1.0,-1.0,-1.0
137,3,37,10001,200.05948491573002,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
138,3,38,10001,80.39883196983538,2.0,464.0,464.0,464.0,686.0,-1.0,-1.0,-1.0,-1.0
139,3,39,1327,32.232382885537135,3.0,699.0,699.0,699.0,775.0,1327.0,1327.0,1327.0,1327.0
140,3,40,10001,216.28466733619217,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
141,3,41,1093,48.63826199488341,3.0,603.0,603.0,603.0,1044.0,1093.0,1093.0,1093.0,1093.0
142,3,42,10001,60.75292063410088,2.0,628.0,628.0,628.0,4537.0,-1.0,-1.0,-1.0,-1.0
143,3,43,9887,34.65042504677081,3.0,8723.0,8723.0,8723.0,9830.0,9887.0,9887.0,9887.0,9887.0
144,3,44,10001,60.569543666360396,2.0,1835.0,1835.0,1835.0,4492.0,-1.0,-1.0,-1.0,-1.0
145,3,45,10001,82.67561728422164,2.0,1524.0,1524.0,1524.0,2526.0,-1.0,-1.0,-1.0,-1.0
146,3,46,1097,26.01931478628533,3.0,83.0,83.0,83.0,494.0,1097.0,1097.0,1097.0,1097.0
147,3,47,6430,11.646691222430404,3.0,586.0,586.0,586.0,1712.0,6430.0,6430.0,6430.0,6430.0
148,3,48,10001,188.46420049375618,1.0,753.0,753.0,753.0,-1.0,-1.0,-1.0,-1.0,-1.0
149,3,49,10001,69.12993191789147,2.0,3637.0,3637.0,3637.0,8423.0,-1.0,-1.0,-1.0,-1.0
150,4,0,5121,22.224051026677213,4.0,55.0,55.0,55.0,293.0,5121.0,5121.0,5121.0,5121.0
151,4,1,10001,100.49097701205153,2.0,104.0,104.0,104.0,2700.0,-1.0,-1.0,-1.0,-1.0
152,4,2,2819,31.825724269801498,4.0,70.0,70.0,70.0,133.0,2819.0,2819.0,2819.0,2819.0
153,4,3,10001,116.19301233716132,2.0,345.0,345.0,345.0,1701.0,-1.0,-1.0,-1.0,-1.0
154,4,4,2270,21.95072083971776,4.0,1301.0,1301.0,1301.0,1739.0,2270.0,2270.0,2270.0,2270.0
155,4,5,10001,131.83498381574245,2.0,8342.0,8342.0,8342.0,8344.0,-1.0,-1.0,-1.0,-1.0
156,4,6,10001,43.15511789852953,3.0,187.0,187.0,187.0,683.0,-1.0,-1.0,-1.0,-1.0
157,4,7,8764,30.47863854162953,4.0,1644.0,1644.0,1644.0,1885.0,8764.0,8764.0,8764.0,8764.0
158,4,8,10001,136.12329562597932,2.0,149.0,149.0,149.0,1521.0,-1.0,-1.0,-1.0,-1.0
159,4,9,8755,24.774019539276406,4.0,490.0,490.0,490.0,3573.0,8755.0,8755.0,8755.0,8755.0
160,4,10,10001,68.1568144070513,3.0,258.0,258.0,258.0,2367.0,-1.0,-1.0,-1.0,-1.0
161,4,11,10001,52.7004864377314,3.0,967.0,967.0,967.0,4273.0,-1.0,-1.0,-1.0,-1.0
162,4,12,6188,29.760878267929776,4.0,1902.0,1902.0,1902.0,5113.0,6188.0,6188.0,6188.0,6188.0
