,0,1,2,3,4,5,6,7,8
0,12,1,2501,189381.56882877578,116424.6958068786,2.0,0.0,331.7371795654297,0.0
1,12,1,2501,193241.29498921378,86015.63581038732,0.0,0.0,0.0,0.0
2,12,1,2501,203735.48398187335,122576.84873787126,1.0,0.0,383.69281005859375,0.0
3,12,1,2501,197158.21058410854,92662.89921588471,0.0,0.0,0.0,0.0
4,12,1,2501,202741.7244428166,106982.49938014009,0.0,0.0,0.0,0.0
5,12,1,2501,202945.56144482733,130173.92025253321,2.2,0.0,356.3031341552734,0.0
6,12,1,2501,81274.88053847967,81274.88053847967,1.0,1.0,283.89673767089846,309.9017608642578
7,12,1,2501,113295.50663675342,111686.45062170728,0.0,0.0,0.0,0.0
8,12,1,2501,195587.9846187159,125763.87824633843,1.0,0.0,366.09498901367186,0.0
9,12,1,2501,196486.0148949711,89987.61994294362,2.0,0.0,296.81748657226564,0.0
10,12,1,2501,196622.45159339864,120933.22666828621,1.0,0.0,404.57776794433596,0.0
11,12,1,2501,196622.45159339864,120933.22666828621,1.0,0.0,404.57776794433596,0.0
12,12,1,2501,183165.23184470658,154176.2107703947,1.0,0.0,453.2154602050781,0.0
13,12,1,2501,207930.8787451739,187376.72855173502,1.0,0.0,463.4102325439453,0.0
14,12,1,2501,200480.32113587865,154063.3573392934,0.0,0.0,0.0,0.0
15,12,1,2501,187973.96614837908,115795.00431849409,1.0,0.0,411.68719787597655,0.0
16,12,1,2501,208046.2030192523,177419.7424274233,1.0,0.0,468.0202941894531,0.0
17,12,1,2501,189503.50247010842,103028.8114027067,2.1,0.0,290.87054443359375,0.0
18,12,1,2501,193203.01644477638,94397.97042383866,1.0,0.0,343.3626953125,0.0
19,12,1,2501,185894.67745493178,153603.04424135922,1.0,0.0,374.5232452392578,0.0
20,12,1,2501,188242.45399154708,173877.62872792844,1.0,1.0,430.5733367919922,461.1085601806641
21,12,1,2501,198661.18383882486,148791.011306764,1.5,0.0,380.8803344726563,0.0
22,12,1,2501,189818.86030066267,104341.50248663661,2.0,0.0,366.4368103027344,0.0
23,12,1,2501,204172.45913199606,176916.83928063157,1.0,0.0,442.7323883056641,0.0
24,12,1,2501,192081.38958741183,158380.57810952977,1.0,0.0,436.34877624511716,0.0
25,12,1,2501,196622.98338711326,124703.48013455306,1.1,0.0,452.0177764892578,0.0
26,12,1,2501,194045.09210968413,106491.73977000207,1.0,0.0,351.74244689941406,0.0
27,12,1,2501,201279.6327726627,164338.1175988801,1.0,0.0,456.55804138183595,0.0
28,12,1,2501,201038.71728016305,137883.1284858951,1.0,0.0,426.3508361816406,0.0
