,POP,SEED,STEPS,AVERAGE_SPEED,RADIAL_VARIANCE,SCATTER,GROUP_ROTATION,ANGULAR_MOMENTUM,CONVEX_HULL,INVERSE_CONVEX_HULL,H0,H1,H0_MAX,H1_MAX
0,12,0,2501,0.9567724564786977,0.8895482176717203,0.5265455203598203,0.27022392806696544,0.22449546095909653,206079.5904866456,82910.21269667854,1.3,0.0,259.01188201904296,0.0
1,12,0,2501,0.645580669132091,0.5322731585607797,0.5212532260020848,-0.4872154996688841,-0.32251485442561756,191456.39160833097,133082.04768500628,1.0,0.0,402.5324005126953,0.0
2,12,0,2501,0.3112036736904728,1.0096471041475763,0.4620082033813246,-0.01822022703028281,-0.029170147767093382,200833.1175647302,85285.42574818792,2.1,0.0,271.0185546875,0.0
3,12,0,2501,0.328539293935285,0.9112312091139464,0.4376439651370175,0.01249239023601084,0.012586435544817198,176380.7157672018,71714.25719797323,1.8,0.0,224.73193969726563,0.0
4,12,0,2501,0.30417332473921427,0.8253866098684797,0.48340449456190954,-0.04705224316180174,-0.02674836050498388,201653.9609892846,129610.94488113432,2.8,0.0,291.6830535888672,0.0
5,12,0,2501,0.5684099002414879,0.880152446601702,0.48485432262655803,0.06335800270897925,0.04210303590322455,195041.29948330033,89973.39249061345,1.0,0.0,226.61045989990234,0.0
6,12,0,2501,0.5749642675619101,0.684385123353667,0.48719915629907473,-0.010092010694059052,0.03488850587828309,187515.6483510846,96371.35613176165,2.0,0.0,296.3509246826172,0.0
7,12,0,2501,0.3547598532494202,0.841891867749399,0.4093716721652567,-0.0008826137938860408,0.004071076481715715,185969.06173723142,72319.0597088056,1.2,0.0,202.78185577392577,0.0
8,12,0,2501,0.3075592424760969,1.031049772245273,0.5168310607018466,0.0011108973972515385,-0.0010294727997871447,205223.3699440167,75820.94743097015,2.0,0.0,270.08067932128904,0.0
9,12,0,2501,0.08769606137791623,0.8719870253442445,0.35231647173168257,0.012086667826794302,0.006536253535849333,150480.7068035917,33046.62319347757,2.0,0.0,195.9286117553711,0.0
10,12,0,2501,0.6695700699805721,0.9802198647693617,0.4654918198105074,-0.03444785050247517,-0.024590038714923993,195311.03690831177,107394.48161902344,2.0,0.0,255.71288146972657,0.0
11,12,0,2501,0.13339246610136718,0.9151933529857615,0.45344231867574225,0.002806282259380822,0.0035427826392397414,189837.49459340487,71442.62243251242,1.0,0.0,351.801123046875,0.0
12,12,0,2501,0.18598467825116138,0.6836964812129659,0.5088640130407801,-0.018354707509224057,-0.012301061249540059,202491.5194138439,112337.69095655989,2.0,0.0,305.66627502441406,0.0
13,12,0,2501,0.88135747400068,0.4450592718712354,0.42410360194521796,0.21215072529845228,0.1217041596476355,162509.3631110032,106503.165441202,1.9,0.0,264.28209533691404,0.0
14,12,1,2501,0.9083195243683296,0.9057613908333252,0.5028993653158018,-0.1639064141095563,-0.02653513193370183,202153.6894340165,141012.1926735017,1.0,0.0,303.9965759277344,0.0
15,12,1,2501,0.6964824666510567,0.20246921554265118,0.5555249451831367,-0.557363170010107,-0.4107451195382339,184716.55509581522,163517.9950358445,1.0,0.0,439.33837890625,0.0
16,12,1,2501,0.30792061681817384,0.9122517736362389,0.4370179640311794,-0.0073571469255408,-0.015288470847224796,188686.6363206337,93357.46202585868,4.0,0.0,266.09202575683594,0.0
17,12,1,2501,0.33338889046747683,0.6604590486271782,0.43423398634692084,-0.008385502237482391,-0.0041153013083933395,176960.39648070224,80399.4588029949,3.0,0.0,248.77546234130858,0.0
18,12,1,2501,0.3656774355648797,0.6545121535837094,0.4367741116966417,0.05217852532016485,0.03637884112134727,187104.36806218885,102700.25760324913,4.0,0.0,293.4911163330078,0.0
19,12,1,2501,0.5588445604615317,0.618210234760214,0.4753708886516446,0.06698702668918016,0.02890824227414092,186674.5139089255,118073.40177642785,1.0,0.0,289.62427978515626,0.0
20,12,1,2501,0.5985267254155051,0.646063619329103,0.4536290507763483,-0.0667456576079116,-0.007170596770540081,171300.8660593718,111420.13044821382,1.0,0.0,346.5495147705078,0.0
21,12,1,2501,0.3786747184502351,0.676899981658344,0.4124354906411422,0.006991269904960327,0.0022820115564361654,179746.24480135375,72042.08374338425,2.0,0.0,254.58076171875,0.0
22,12,1,2501,0.30685543477868055,0.8237455623413168,0.49196929739989037,0.02445591635178347,0.0174951576273787,197359.06688472733,92293.33297674362,2.6,0.0,270.41338806152345,0.0
23,12,1,2501,0.09620389815073638,0.6294581295572843,0.3185899500381902,-0.004073416500795891,-0.0017891842522984147,142109.24768346132,46245.52237916963,5.0,0.0,202.74332427978516,0.0
24,12,1,2501,0.6763880542545223,1.0547396238344546,0.4476079657030866,0.020943669493558657,0.02327081037988243,193384.7769757996,73159.80089009347,2.0,0.0,294.58672485351565,0.0
25,12,1,2501,0.1280167458258757,0.7102715865724728,0.3776318826961147,0.007812668429131397,0.00570945019990691,163335.91312028555,52540.80870723158,1.0,0.0,270.49416198730466,0.0
26,12,1,2501,0.17966790375574862,0.9473289022325043,0.5551118220232347,-0.006658717506580755,-0.0009802179981119078,207766.57555550378,130587.95762625411,1.0,0.0,327.5454528808594,0.0
27,12,1,2501,0.9048040990508811,0.5309358263640832,0.4031437025805101,0.05120674920343479,0.04685679018730376,156601.79738607325,83918.60957452256,2.0,0.0,262.0866729736328,0.0
28,12,2,2501,0.9229261613848938,0.5164240668625405,0.5102768124709857,0.2737231806326523,0.2340699582122318,197847.540415146,140987.36447056563,2.0,0.0,336.3295104980469,0.0
