,identifier,controller_0,controller_1,controller_2,controller_3,behavior_0,behavior_1,behavior_2,behavior_3,behavior_4,behavior_5,behavior_6
0,3,-5.7455514064663005,0.7627282089210292,1.714799848520141,-0.2861227043449752,0.6321057569042077,0.024655229332525806,0.5793833136597853,0.12180907239928045,0.050585973592064265,299.0,0.14212628051211185
1,4,2.422461610357829,-0.7374101684716763,7.676025076184343,-0.2884551978872665,1.097185584836562,0.1272398425990347,0.029153554924888785,0.014695885712753659,0.9597374356482081,2649.0,0.022004254904162246
2,5,4.103093425457606,0.6946985545616953,7.643962730888221,-0.8075369470631153,1.0545244081190361,-0.1353222730254641,0.12095649647161101,0.054240151341451354,-0.6272572388854789,1351.0,0.05957449130415862
3,6,2.503095976867571,-0.2363866165051347,-2.5692708124132158,-0.6368512631145113,0.4916481138766033,0.05797199145134397,0.8282317891821355,0.3501723857466137,0.09544914801735672,0.0,0.5000114601357827
4,7,2.9382768580479235,0.7781227339394601,1.512146934254126,0.4537619283461738,0.5870539005195596,-0.004049331245846478,0.5461037404739367,0.1635050821697679,-0.0050401133987150485,0.0,0.23790110437620396
5,10,-8.123326481575111,-0.437431396296335,4.92343994746588,0.5225112055453269,0.9264068369750342,-0.09521865437900537,0.7603242979154389,0.4381130165957588,-0.14442523935849674,191.0,0.549526699879235
6,11,2.733504397474853,0.312423254667596,-4.176320254259829,-0.5798796904126666,0.8078189670164175,-0.030176390345501125,0.42863389898797793,0.13065470795712447,-0.08454520794302427,0.0,0.1736768398268912
7,16,4.157982970258834,0.4117522821084827,2.258460632829904,0.7983233601967317,0.9740756071706888,-0.2007434287207358,0.2151547328950976,0.36319522138565796,-0.2997721434342084,0.0,0.5113031898815357
8,19,-8.493075948232338,-0.3237836371891625,-8.601316308666771,-0.2927420223868469,2.1317929154422965,0.17625397953763702,0.37015366417465967,0.19012295032497217,0.29090380706088736,41.0,0.2643563987281292
9,20,7.770037925783599,0.9075696677351726,-0.3818917811700917,-0.7451233455554664,0.9728152999653765,-0.23037297651072056,0.013430808866084392,0.07144706262557032,-0.866552345481439,288.0,0.10065228934452003
10,21,8.256195668160181,-0.3574382154578133,-9.590812346090019,0.6571899076700229,2.172457221047195,0.19987446579500046,0.07625033133234269,0.11197192136109697,0.6054972516250404,51.0,0.15655377297117082
11,25,2.2947456497571284,-0.6301761144468021,2.962974307834947,-0.4866921533261246,0.6434328298394095,0.003964545085998625,0.1357083902689709,0.04929317693430035,-0.008396468181934453,104.0,0.06133953756438935
12,28,5.943796707962701,0.5392738021483774,0.8688713222418287,-0.4070109372080737,0.5867922429461117,-0.068498923155432,0.2728263328384959,0.08276178129087963,-0.24175091610243465,1381.0,0.05676267099553203
13,30,3.4357335140713086,0.352436906574213,9.959540658493236,0.12256920758313683,1.8669558502511578,-0.2529313083343172,0.025119732948721052,0.017145603107717317,-1.8027267890118572,1790.0,0.026965145826188454
14,35,-0.8738637106055913,0.33221323957333015,7.90791440252505,-0.10825226041471447,0.8097659124868006,-0.1062692066808247,0.12003958670526375,0.0524188953266736,-0.4915271062589206,2826.0,0.048870589174583846
15,36,-7.189601376635244,0.7076534434974451,-5.139937801031671,0.3294809984418299,1.5795241120858432,-0.032083037349050623,0.7497936344099263,0.2871391001249884,-0.047487083914187114,0.0,0.3847572678445519
16,37,4.004524248411993,0.6067066773457555,2.647736843655859,-0.0791822113211269,0.5583501526264943,-0.08137680367446513,0.009162212797497557,0.025915599388708955,-0.49087282785926595,1183.0,0.037428951718874025
17,43,3.1822505991768857,0.4212787853540918,-1.0942080072377713,0.373858396110583,0.5749447942427877,-0.10457622895002622,0.5013002264736626,0.38644808122985064,-0.1469910795569026,0.0,0.5752982020000591
18,45,3.946810189534935,-0.3171004224010914,-5.5496966232979865,0.2163823270193419,0.8699951991286551,0.006944714607963,0.23643065856863937,0.4277961341920777,0.0077227047304684075,23.0,0.525628731668878
19,46,-2.49701181966405,0.9914082984603196,6.166028826429257,-0.8853680146948837,0.44846041401808373,-0.01791580142429618,0.06513811903411532,0.03876645698713964,-0.08156287660168653,2719.0,0.051439180976797866
20,48,7.639912840388212,-0.2339584414297491,6.453596643895949,0.5005855403619619,1.8547403621978824,0.42760001880089576,0.0002594640276505009,0.05336118148448949,1.8512518677427807,661.0,0.07674753425784321
21,49,-5.113109285598522,-0.996310526488712,2.6714863828271707,-0.8715475704178641,0.7516306128844089,0.06455856300102561,0.07356699766962453,0.02282678793792935,0.3611831778943186,2474.0,0.02867360670672035
22,50,2.477426761801824,-0.615300302127217,0.5537286588729384,-0.9396240964874714,0.5267787192470031,-0.0070620118441674816,0.5478540616473755,0.2739799918350277,-0.01055197714769335,0.0,0.38142904960629154
23,52,-2.603641166998565,-0.6790757447967961,-3.5280945028371113,-0.8618288113922459,0.7202442919375324,0.01199447314195808,0.2888619667990507,0.1552790192721217,0.02013924456070853,0.0,0.19980772516961262
24,55,9.227564242688054,0.34127785924928267,5.999595124833053,0.3147118487458882,2.0877383415687794,-0.14888637795927825,0.582072564143956,0.26178716016681675,-0.1854628859473765,528.0,0.4067120312763089
