Complexity,Loss,Equation
1,789.731,"42.45527"
3,384.5731,"(3.3127642 * x0)"
4,321.966,"(x0 * sqrt(x1))"
5,321.96597,"(x0 / sqrt(inv(x1)))"
6,303.0046,"(x0 * sqrt(1.6770786 + x1))"
7,282.74432,"(((x1 / 12.608444) - -2.4362297) * x0)"
8,268.8085,"(sqrt(x1 - -3.3407855) * (x0 + -1.4041586))"
10,251.07889,"((sqrt(x1) * (x0 - (-63.41867 / x1))) - 18.433407)"
12,244.37892,"((sqrt(x1) * ((x0 * 1.1309988) - (-65.0439 / x1))) - 24.5014)"
14,233.9697,"(((sqrt(x1) * ((x0 * 1.440766) - (-99.04742 / x1))) - 35.462776) - x0)"
16,230.82701,"(((sqrt(x1) * ((x0 * 1.7504637) - (-133.03726 / x1))) - (x0 - -46.41751)) - x0)"
20,229.22432,"(((sqrt(x1) * ((x0 * 1.440766) - (-99.04742 / x1))) - 35.462776) - (x0 - cube(square(2.576806) / x0)))"
