Complexity,Loss,Equation
1,789.731,"42.4554"
2,789.73096,"square(6.5157175)"
3,384.5731,"(x0 * 3.3127642)"
4,321.966,"(x0 * sqrt(x1))"
5,321.96597,"(x0 / sqrt(inv(x1)))"
6,303.0046,"(x0 * sqrt(x1 - -1.6770787))"
7,285.43262,"(x0 * (sqrt(sqrt(x1)) * 1.9169452))"
8,268.8085,"(sqrt(x1 + 3.3407261) * (x0 - 1.4040992))"
10,160.32652,"((x0 / 0.41551533) + exp(0.011807536 * (x1 * x0)))"
12,88.66667,"((x0 / 0.3612248) + (exp(sqrt(x0 * x1)) * cube(0.008869527)))"
13,87.06522,"((x0 / 0.35738227) + (exp(0.032644 * (x1 * x0)) * square(0.034154907)))"
14,84.00493,"((x0 / 0.3667894) + (exp(0.02592844 * ((x1 + 0.5496231) * x0)) * 0.009154665))"
15,81.29674,"((x0 / 0.38069978) + exp(square(-0.011306616 * (x1 * ((x0 + -0.5158605) / -1.7802835)))))"
16,80.14633,"((1.6811113 * x0) - ((-88.96746 - exp(0.023719538 * ((x1 - 1.2020444) * x0))) / x1))"
17,71.45102,"((x0 - ((inv(-0.0174422) - exp(0.023825295 * ((x1 - 1.3476437) * x0))) / x1)) + x0)"
18,65.6185,"((x0 + x0) - ((-88.96746 - exp(0.023719538 * ((x1 - 1.096077) * x0))) / (x1 + 2.3842874)))"
19,65.54554,"((x0 + x0) - ((-88.96746 - exp(0.023719538 * ((x1 - 0.8471976) * x0))) / (x1 + sqrt(x0))))"
20,63.520596,"(x0 - ((((-88.96746 - exp(0.023719538 * ((x1 - 1.1128153) * x0))) / (x1 - -2.9471076)) - x0) + -1.684803))"
