Complexity,Loss,Equation
1,789.731,"42.4554"
3,384.5731,"(3.3127205 * x0)"
4,321.966,"(sqrt(x1) * x0)"
5,321.96597,"(x0 / sqrt(inv(x1)))"
6,303.0046,"(sqrt(x1 - -1.6770787) * x0)"
7,282.74432,"(x0 * ((x1 * 0.07931329) + 2.4362555))"
8,268.80853,"(sqrt(3.338073 + x1) * (x0 + -1.4036901))"
9,264.9332,"(square(sqrt(x1) * (x0 * 0.10786124)) + 16.604773)"
10,169.23119,"(exp((x0 * 0.011168804) * x1) + (x0 * 2.5833907))"
11,89.58937,"((x0 + cube(cube((x0 * 0.0042521204) * x1))) * 2.6599848)"
13,79.77912,"((x0 + cube(cube(((x0 + -0.20665036) * x1) * 0.0043273494))) * 2.6599848)"
14,78.07173,"((x0 + cube(cube(((x0 - inv(x0)) * x1) * 0.0043273494))) * 2.6599848)"
15,71.73989,"(((x0 + cube(cube(((x0 - 0.2338234) * 0.0043273494) * x1))) + 1.5847846) * 2.5833907)"
16,66.083954,"(square(cube(square(((x0 + -0.27074268) * 0.0043273494) * x1))) + ((x0 + 2.5833907) * 2.4108505))"
18,65.19307,"(square(cube(square(((x0 + -0.27074268) * 0.0043273494) * x1)) - -0.18241549) + ((x0 + 2.5833907) * 2.4108505))"
