1694462410.0	0	[]
1694462433.0	1	[0.0813088319266861, 0.0636008348783096, 0.2085096329681659, 0.0402131159642748, 0.0690506905179467, 0.0484749519160878, 0.162384614538376, 0.1190416780076181, 0.1129912508145729, 0.0156200958615212, 0.0354201670129971, 0.2937151935216281, 0.8478400432574641, 0.0480858251988784, 0.0522835519156929, 0.8429538405572243, 0.2765464384074879, 0.0898521177257585, 0.7524063044327545, 0.0618821531970491, 0.0090530368933222, 0.1965111828578008, 0.5401341875410686, 0.7527305252443373, 0.1699018309453158, 0.0502283233442, 0.0867572350855055, 0.1333059010883413, 0.2174525673924191, 0.9375763884441056, 0.8266762262512412, 0.3929337960760816, 0.059690425797056, 0.0148246374732865, 0.964870679306068, 0.0437472833176051, 0.3394327145192439, 0.5184868066142014, 0.9426234254127244, 0.0469656661507274, 0.0579237195060743, 0.7422309990247378, 0.8345448818526907, 0.0910876506716032, 0.0942633728955051, 0.0165691577522918, 0.8485596767417857, 0.2110820806889013, 0.9302613484150628, 0.1812651004268405]
1694462452.0	2	[0.0273042319522658, 0.0516665630618754, 0.0644060006591404, 0.841536350965526, 0.0727565073392344, 0.9163961686188788, 0.0959480108117965, 0.0529695866836519, 0.948454341872622, 0.0698058117999458, 0.1576484718867364, 0.5992394818292514, 0.8715548797758922, 0.0585373511747612, 0.913559799346898, 0.0391373032033791, 0.9317245681786523, 0.8967972419058615, 0.9362508634995522, 0.0431728400187314, 0.9455035942491123, 0.959898412305536, 0.9695478841135372, 0.0358004376050622, 0.0068716947154476, 0.8571008888354993, 0.3804963297305064, 0.0610957018215156, 0.0617737240978745, 0.96200596772608, 0.1052957641298486, 0.0792928187179188, 0.0480452421367957, 0.970090816174326, 0.0537645436498576, 0.0505993408604849, 0.0679788061803461, 0.0183297930142406, 0.8161137845734413, 0.0401985442137712, 0.9444089797021992, 0.1801354042935224, 0.1576378588423041, 0.0228194521095233, 0.9061372142442908, 0.6622820587222742, 0.0633859749505956, 0.104541728477276, 0.1926402373980976, 0.0463030361573386]
1694462472.0	3	[0.0948566910959479, 0.081778110499839, 0.017841711569074, 0.1332954895666861, 0.9446262673821646, 0.8508554206126717, 0.6527553356518249, 0.3132602800322043, 0.6900956366432254, 0.0792254984975797, 0.9332481185591032, 0.0727983175778157, 0.8772867280745131, 0.9108327053494328, 0.1474281998527246, 0.0733037658466773, 0.9476256220337556, 0.9342980483508396, 0.897731224510385, 0.904739516229013, 0.912153456524438, 0.4069446434681437, 0.954461043781106, 0.0551720483504722, 0.8628446115932821, 0.9092501120971198, 0.0621785011191546, 0.0445259329412665, 0.9418278578071364, 0.9159941817749534, 0.160213324180155, 0.949317874911426, 0.9679928192633518, 0.1082303196931287, 0.8431248472902618, 0.9504764639046572, 0.9146925863241, 0.1487604873918661, 0.0091695443248511, 0.4804401991329001, 0.7126292002179269, 0.1716856297173935, 0.920448507455216, 0.0462586804951639, 0.7327946501794371, 0.8035666291213373, 0.0918121074568513, 0.9219111798739577, 0.2858599600020949, 0.4388237048998166]
1694462492.0	4	[0.0459514833747727, 0.908113908282726, 0.205926061195029, 0.7987618390923514, 0.1931104671480567, 0.8956369552764412, 0.0754573422548706, 0.053764810652082, 0.9362804749478704, 0.9513710394959484, 0.941625595724382, 0.7590867352610904, 0.9021187223038126, 0.9115851600498917, 0.1145467017094175, 0.0562733894953483, 0.944625240545828, 0.9318840808103194, 0.8072019535712256, 0.9074618813008156, 0.9175432846536126, 0.4900653667563323, 0.9621489826643248, 0.0616338588548092, 0.8782763157819834, 0.8769553125758542, 0.813018872089924, 0.0293354146686424, 0.9481900515213876, 0.9292491396877484, 0.2396844828767614, 0.94202892912688, 0.0999961867374204, 0.9726281705641115, 0.5623730509404279, 0.8027360935579411, 0.9535461830081196, 0.0054929838842303, 0.0432810569216612, 0.7135835747017394, 0.8857564990093616, 0.0453253987614004, 0.922581139458743, 0.0065429589051737, 0.9364209589380644, 0.2587268532749655, 0.0809702186881117, 0.0400467505810278, 0.0610351219498322, 0.0263588587536348]
1694462512.0	5	[0.0309906090804567, 0.2786170848975342, 0.4197027727381049, 0.9745854040445658, 0.8890880506067463, 0.8932237474637046, 0.3414096524861605, 0.0762367345437819, 0.9347276995590112, 0.0587619005886806, 0.9415145914245318, 0.9106337611679204, 0.8918913983511377, 0.9041965627945012, 0.0757941995102234, 0.0322406552383674, 0.9417268774368984, 0.9295116142989202, 0.8721010279356739, 0.926034223045778, 0.9099722470604872, 0.9449291471700088, 0.9565368117811884, 0.051532236010963, 0.8922458154969328, 0.8728750600275145, 0.2343816827516052, 0.0440645338978156, 0.9529688859593316, 0.9219133901872606, 0.3245474418002718, 0.9591908478545628, 0.1466347664372899, 0.9736963827046528, 0.0977208656449052, 0.5493048952495059, 0.9310216771218762, 0.0412451780061245, 0.0432862884147769, 0.9656165498129592, 0.8794079741693018, 0.1016731769554242, 0.925022008759682, 0.398376047903731, 0.8733693034404945, 0.179677734560055, 0.0267276586330691, 0.9403147006463256, 0.0303344031813466, 0.8954966882714391]
1694462532.0	6	[0.941560698797447, 0.9478507466351024, 0.9448958595595448, 0.2765902968172387, 0.0468839375072378, 0.8616416846410576, 0.939587686536348, 0.0199013339019659, 0.9558828393588502, 0.0169621752273362, 0.0429734575925328, 0.9467106638593016, 0.9181475327100024, 0.91914173630852, 0.9516297197372936, 0.0497250137606514, 0.9725372673987224, 0.9606752661657524, 0.0704116357571292, 0.9752430870408512, 0.0563054434188018, 0.3316867799833851, 0.0312479741976046, 0.9441487138459262, 0.6034882293801221, 0.9249253929316932, 0.9438676705480988, 0.0278582048498405, 0.9833082223630212, 0.0231758200855944, 0.1716977134473095, 0.9722983211435616, 0.9309985488274338, 0.92168723756131, 0.9425727903230608, 0.965355139768671, 0.9459190618090426, 0.3439013091800115, 0.949249264226396, 0.0557641643163707, 0.027525935088279, 0.8774626661409703, 0.0464183344110859, 0.1417915279573602, 0.9380273596642074, 0.8373016008356576, 0.911751270612072, 0.9074018691865224, 0.9238418214397428, 0.9579954951442264]
1694462551.0	7	[0.9060556571837428, 0.873475523430331, 0.8718542538114807, 0.265812880855769, 0.2772407606807473, 0.0482272249738575, 0.929553620237802, 0.8807615400968927, 0.8509206092040218, 0.0264929505973559, 0.4209869183972318, 0.9657624787781148, 0.898378193382339, 0.0430759032896103, 0.942826932951229, 0.819976696984078, 0.5341953229897436, 0.8905014421087967, 0.9620111200541516, 0.867803243836589, 0.9736048626712792, 0.9421600027022282, 0.9395587517113264, 0.166754345842864, 0.8359144529066687, 0.9217390789750612, 0.9373381823389394, 0.9277602897026768, 0.4286816227763158, 0.9014604088384394, 0.9784088356275756, 0.124281920758397, 0.1485768544716142, 0.9491597850029664, 0.9175175263909574, 0.9524118278668544, 0.9318435025225966, 0.0316882212233822, 0.9692820049686256, 0.9068518708969576, 0.3626147932084372, 0.9196490204057268, 0.6021684476314928, 0.9550098097330684, 0.9409230324687043, 0.9781853332396494, 0.9222135762949208, 0.8811796093264127, 0.921900500016503, 0.9758199408811752]
1694462572.0	8	[0.8988006781597804, 0.9492910295762124, 0.0307383936805138, 0.9632850425885754, 0.9160701002608884, 0.9170758658062904, 0.3701817717968276, 0.0473095405802304, 0.9517324220586176, 0.2384780029981055, 0.9554255876608648, 0.938103152135662, 0.9240499036064136, 0.9221669422727488, 0.9120787537090536, 0.147666667463249, 0.9586374751040532, 0.942229677987561, 0.910471107881342, 0.9504617834865228, 0.9325629100723392, 0.5829149347712107, 0.9733891484277152, 0.1289868361491579, 0.9080803384451236, 0.8861044042433869, 0.9597185676433624, 0.1993338473881353, 0.9613321957526518, 0.9496892188215332, 0.1606049821747299, 0.7298759604705335, 0.9626586672878148, 0.96944552890386, 0.5539076571608167, 0.968812963501528, 0.955393112505596, 0.0680386832999238, 0.1313448497730799, 0.977761023251802, 0.9073247214185104, 0.0872418513230993, 0.9434439701645968, 0.9312237260559878, 0.9586045416096184, 0.1653832490117357, 0.0027886499246306, 0.0483859516752087, 0.9332744063991952, 0.9798182951413992]
1694462592.0	9	[0.9519906281749824, 0.9347251042842138, 0.9754042163468803, 0.904177718034844, 0.1768694543860359, 0.9310432992762756, 0.1151934479067165, 0.0541215727487237, 0.9677113160805336, 0.9686091696870562, 0.9626481917129182, 0.955415953839329, 0.900466884842526, 0.9278125349448276, 0.6136728205251533, 0.1116377965399725, 0.9638294183861008, 0.9542613623131028, 0.9399922125183278, 0.950566890098035, 0.9469887635648964, 0.5924256784559941, 0.9446550659570412, 0.4977401363346505, 0.9177568844215146, 0.905378959114646, 0.9597541178043336, 0.028509172842913, 0.9677792441669156, 0.957483304971571, 0.140453416223428, 0.968909011066332, 0.5143859155202019, 0.9754876540559262, 0.7228532641262229, 0.8101709186409977, 0.9747406874242706, 0.764499426017878, 0.8962312732397015, 0.8754227529825629, 0.9355956122990016, 0.0151157783104707, 0.9486879211080976, 0.9484599710259894, 0.9572769269294392, 0.067957370510661, 0.0974430172046441, 0.0434387967229972, 0.9505900469561316, 0.9622973122351464]
