Complexity,Loss,Equation
1,447.3182,"33.677574"
3,267.96878,"(x0 * 2.555335)"
5,236.0086,"((x0 * 1.922622) - -10.606506)"
6,229.94641,"((x0 * exp(x3)) - -7.9016066)"
7,202.98415,"(x0 * (1.8551661 - (-0.063357815 * x1)))"
9,179.23347,"(x0 * (3.334128 - (0.09627031 * (x2 / x1))))"
10,160.97078,"(x0 * exp(1.3459737 - (0.059893165 * (x2 / x1))))"
11,152.05482,"(x0 * exp(exp(0.38992158 - (0.07686865 * (x2 / x1)))))"
12,143.5742,"(x0 * (exp(1.2129447 - (0.09930316 * (x2 / x1))) + x3))"
13,139.00891,"(x0 * exp(exp((0.5059611 * x3) - (0.07603402 * (x2 / x1)))))"
14,138.02043,"(x0 * (exp(1.2984105 - (0.1583979 * (x2 / (x1 + 2.7004669)))) + x3))"
15,136.56325,"(x0 * exp(exp((0.5433909 * x3) - (0.10158517 * (x2 / (x1 + 1.7794056))))))"
17,134.25002,"((x0 * exp(exp((0.4736601 * x3) - (0.082534194 * (x2 / x1))))) + (33.677574 / x1))"
18,132.70291,"((x0 * exp(exp((0.5059611 * x3) - (0.082534194 * (x2 / x1))))) + (cube(2.555335) / x1))"
19,129.8634,"(x0 * exp(square(1.2077533 - (0.041422542 * (x2 / ((x1 * x3) + exp(inv(0.059893165) / x0)))))))"
