Complexity,Loss,Equation
1,447.3182,"33.677574"
3,267.96878,"(x0 / 0.39137572)"
5,236.0086,"((x0 * 1.9226573) + 10.605631)"
6,203.69284,"(x0 / (0.2621333 + inv(x1)))"
7,202.98415,"(((0.063361526 * x1) - -1.8551297) * x0)"
8,190.58148,"(((0.008143289 * x1) * square(x0)) - -15.574291)"
9,189.35135,"((((0.087389305 * x1) * x3) - -1.8310113) * x0)"
10,170.95984,"(((0.008756406 * x1) * square(x0)) - (-574.9038 / x2))"
12,133.08852,"(((0.00792637 * x1) * square(x0)) - (-1025.0762 / (x2 + x1)))"
14,117.99696,"((((0.010338666 * x3) * x1) * square(x0)) - (-1045.5399 / (x2 + x1)))"
15,116.34707,"(((cube(0.0335699 * x1) - (-2.6349854 / x2)) * square(x0 - 4.4523964)) - -17.937374)"
16,113.77765,"((((0.010378652 * x1) * x3) * square(x0)) - (-1291.4061 / (x1 + (x2 + x1))))"
17,99.83954,"((((square(0.027153261 * x1) * x3) - (-2.0518596 / x2)) * square(x0 - 3.327958)) - -17.937374)"
18,96.825035,"((((cube(0.03558502 * x1) * x3) - (-2.860517 / x2)) * square(x0 - square(-2.090483))) - -18.010088)"
19,93.88401,"((((cube(0.0335699 * (x1 + 1.7421492)) * x3) - (-2.6349854 / x2)) * square(x0 - 4.4523964)) - -17.937374)"
20,93.678986,"((((cube(0.0335699 * (x1 + 1.5448873)) * x3) - (-2.6349854 / x2)) * square(x0 - square(-2.090483))) - -17.937374)"
