Complexity,Loss,Equation
1,447.3182,"33.677574"
3,267.96878,"(x0 * 2.5553393)"
5,236.0086,"((x0 * 1.9226966) - -10.605159)"
6,229.94641,"((exp(x3) * x0) + 7.9014983)"
7,202.98415,"(((0.06335893 * x1) - -1.8551489) * x0)"
9,187.31161,"(((0.02573306 * (x1 - x2)) - -3.6862974) * x0)"
10,179.23347,"((inv((x1 / x2) / -0.09626906) - -3.3341184) * x0)"
11,153.4016,"((x1 / ((x1 + (x2 / 8.73651)) / 4.3345447)) * x0)"
13,141.78456,"(((x1 / ((x1 + (x2 / 4.6881585)) / 3.9883661)) + x3) * x0)"
14,140.58609,"(((x1 / ((x1 + (x2 / 5.640129)) / 3.9883661)) + square(x3)) * x0)"
15,140.22774,"(((x1 / ((x1 + ((x2 / x3) / 11.285675)) / 4.083396)) * x0) - -3.3837583)"
16,138.9895,"((((x1 - -0.88965935) / ((x1 + (x2 / 4.3649716)) / 4.073792)) + square(x3)) * x0)"
17,136.92651,"(((x1 / (((x1 / x3) + (x2 / 5.640129)) / 5.640129)) * (x0 - x3)) + 5.640129)"
18,134.71341,"(((x1 / ((x1 + ((x2 / 11.344989) / x3)) / 4.3345447)) * x0) + cube(5.640129 / x1))"
19,132.72636,"(((x1 / (((x1 / x3) + (x2 / 5.2306857)) / 5.640129)) * x0) + exp(cube(exp(inv(x1)))))"
20,132.3435,"(((x1 / (((x1 / x3) + (x2 / square(2.2530696))) / 5.640129)) * x0) + exp(cube(exp(inv(x1)))))"
