1694461979.4885778	0	[]
1694462015.5099463	0	[0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.017660725256899545, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.08196585403988943, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.07964166930500505, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.059649096678867974, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106]
1694462050.2933517	1	[0.08196585403988943, 0.07964166930500505, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.08002214490891046, 0.059879984421366106, 0.055111364712210564, 0.059879984421366106, 0.08008600882411909, 0.059879984421366106, 0.059879984421366106, 0.08034620242424984, 0.059879984421366106, 0.059879984421366106, 0.07964166930500505, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.08196585403988943, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.07208465248390461, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.03348483167694616, 0.08196585403988943, 0.08196585403988943, 0.059879984421366106, 0.07964166930500505, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106]
1694462083.336572	2	[0.08196585403988943, 0.08196585403988943, 0.08196585403988943, 0.08196585403988943, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.08196585403988943, 0.059879984421366106, 0.08034620242424984, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.08254432672500722, 0.08002214490891046, 0.08196585403988943, 0.08196585403988943, 0.08196585403988943, 0.08196585403988943, 0.08034620242424984, 0.08196585403988943, 0.059879984421366106, 0.08034620242424984, 0.07424928621652349, 0.059879984421366106, 0.07964166930500505, 0.059879984421366106, 0.07208465248390461, 0.08196585403988943, 0.08196585403988943, 0.059879984421366106, 0.07964166930500505, 0.08008600882411909, 0.13081356251936915, 0.08425547646404408, 0.06673445630200414, 0.08196585403988943, 0.059879984421366106, 0.08196585403988943, 0.08996889748098102, 0.059879984421366106, 0.08196585403988943, 0.08034620242424984, 0.08034620242424984, 0.059879984421366106, 0.059879984421366106, 0.07208465248390461, 0.059879984421366106]
1694462117.0023153	3	[0.13081356251936915, 0.08996889748098102, 0.08425547646404408, 0.08254432672500722, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.08846518635767153, 0.08196585403988943, 0.08425547646404408, 0.08196585403988943, 0.08034620242424984, 0.08196585403988943, 0.08196585403988943, 0.08196585403988943, 0.08196585403988943, 0.08425547646404408, 0.08196585403988943, 0.08196585403988943, 0.08196585403988943, 0.08196585403988943, 0.08196585403988943, 0.08043115201177142, 0.13081356251936915, 0.08196585403988943, 0.08196585403988943, 0.08196585403988943, 0.08196585403988943, 0.08196585403988943, 0.08196585403988943, 0.08034620242424984, 0.08196585403988943, 0.08254432672500722, 0.059879984421366106, 0.06276916533987986, 0.05659810977114654, 0.08196585403988943, 0.08996889748098102, 0.08196585403988943, 0.08196585403988943, 0.08196585403988943, 0.13081356251936915, 0.13081356251936915, 0.13081356251936915, 0.059879984421366106, 0.08196585403988943, 0.03348483167694616, 0.08196585403988943, 0.059879984421366106]
1694462150.8407335	4	[0.13081356251936915, 0.13081356251936915, 0.13081356251936915, 0.13081356251936915, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.0591090556666134, 0.06496192191054173, 0.08196585403988943, 0.03348483167694616, 0.08196585403988943, 0.13081356251936915, 0.04770767798264863, 0.13608785507820864, 0.08196585403988943, 0.08196585403988943, 0.13081356251936915, 0.08254432672500722, 0.08196585403988943, 0.08425547646404408, 0.10532704702939133, 0.03348483167694616, 0.08196585403988943, 0.13081356251936915, 0.08425547646404408, 0.08196585403988943, 0.13081356251936915, 0.13081356251936915, 0.18710091318196231, 0.08196585403988943, 0.13081356251936915, 0.13081356251936915, 0.08196585403988943, 0.09170200003164786, 0.08425547646404408, 0.08034620242424984, 0.08196585403988943, 0.13081356251936915, 0.0591090556666134, 0.059879984421366106, 0.08196585403988943, 0.08196585403988943, 0.08196585403988943, 0.059879984421366106, 0.08196585403988943, 0.08196585403988943, 0.08196585403988943, 0.059879984421366106]
1694462184.364793	5	[0.18710091318196231, 0.13608785507820864, 0.13081356251936915, 0.13081356251936915, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.13081356251936915, 0.08196585403988943, 0.08425547646404408, 0.13081356251936915, 0.18710091318196231, 0.03348483167694616, 0.08196585403988943, 0.09170200003164786, 0.18710091318196231, 0.13081356251936915, 0.13081356251936915, 0.13081356251936915, 0.03348483167694616, 0.13081356251936915, 0.07025260405501921, 0.13081356251936915, 0.08196585403988943, 0.08196585403988943, 0.03348483167694616, 0.08196585403988943, 0.08196585403988943, 0.08034620242424984, 0.10714973160175656, 0.028086048011713105, 0.13608785507820864, 0.13081356251936915, 0.08196585403988943, 0.08425547646404408, 0.16644807687019036, 0.13081356251936915, 0.13081356251936915, 0.13081356251936915, 0.08196585403988943, 0.13608785507820864, 0.08254432672500722, 0.13081356251936915, 0.18710091318196231, 0.08196585403988943, 0.03348483167694616, 0.03348483167694616, 0.08107357148727035, 0.156117492610645]
1694462218.1002715	6	[0.18710091318196231, 0.18710091318196231, 0.18710091318196231, 0.18710091318196231, 0.059879984421366106, 0.08373732872120498, 0.059879984421366106, 0.059879984421366106, 0.08196585403988943, 0.13608785507820864, 0.08196585403988943, 0.18710091318196231, 0.156117492610645, 0.13081356251936915, 0.08196585403988943, 0.059879984421366106, 0.031387304170273134, 0.1263900848713193, 0.18710091318196231, 0.18710091318196231, 0.04239066687559179, 0.08196585403988943, 0.08196585403988943, 0.13081356251936915, 0.16644807687019036, 0.0927875890509714, 0.13081356251936915, 0.03348483167694616, 0.03348483167694616, 0.059879984421366106, 0.13081356251936915, 0.08196585403988943, 0.13608785507820864, 0.059879984421366106, 0.16644807687019036, 0.18710091318196231, 0.08196585403988943, 0.13081356251936915, 0.08196585403988943, 0.18710091318196231, 0.18710091318196231, 0.08196585403988943, 0.06606224942301353, 0.13608785507820864, 0.13081356251936915, 0.08196585403988943, 0.18710091318196231, 0.08425547646404408, 0.17920428699914015, 0.18710091318196231]
1694462251.8345637	7	[0.18710091318196231, 0.18710091318196231, 0.18710091318196231, 0.18710091318196231, 0.059879984421366106, 0.08193670858261415, 0.059879984421366106, 0.059879984421366106, 0.08196585403988943, 0.17920428699914015, 0.18710091318196231, 0.18710091318196231, 0.18710091318196231, 0.18710091318196231, 0.18710091318196231, 0.18710091318196231, 0.08196585403988943, 0.08196585403988943, 0.13608785507820864, 0.18710091318196231, 0.18710091318196231, 0.18710091318196231, 0.059350513979788744, 0.08196585403988943, 0.06672017444421874, 0.16644807687019036, 0.18710091318196231, 0.08196585403988943, 0.18710091318196231, 0.18710091318196231, 0.13081356251936915, 0.18710091318196231, 0.18710091318196231, 0.18710091318196231, 0.156117492610645, 0.18710091318196231, 0.08196585403988943, 0.08196585403988943, 0.08196585403988943, 0.08196585403988943, 0.18710091318196231, 0.18710091318196231, 0.08196585403988943, 0.08196585403988943, 0.18710091318196231, 0.16644807687019036, 0.18710091318196231, 0.059879984421366106, 0.18710091318196231, 0.18710091318196231]
1694462285.777103	8	[0.18710091318196231, 0.18710091318196231, 0.18710091318196231, 0.18710091318196231, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.18710091318196231, 0.18710091318196231, 0.18710091318196231, 0.08196585403988943, 0.1141680310568064, 0.08196585403988943, 0.18710091318196231, 0.04301009387381349, 0.017180021129291956, 0.156117492610645, 0.08196585403988943, 0.18710091318196231, 0.18710091318196231, 0.20967742524095279, 0.18710091318196231, 0.18710091318196231, 0.08196585403988943, 0.18710091318196231, 0.18710091318196231, 0.18102326235471133, 0.08196585403988943, 0.18710091318196231, 0.08196585403988943, 0.18710091318196231, 0.18710091318196231, 0.18710091318196231, 0.18710091318196231, 0.08196585403988943, 0.18710091318196231, 0.08196585403988943, 0.18710091318196231, 0.18710091318196231, 0.08196585403988943, 0.18710091318196231, 0.18710091318196231, 0.18710091318196231, 0.18710091318196231, 0.08196585403988943, 0.08196585403988943, 0.18710091318196231, 0.059879984421366106, 0.18710091318196231]
